Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
Seattle WA UHF 45mi,W7WRG Quilcene B,25K,High,441.95,446.95,131.8,131.8,Off
Seattle WA UHF 45mi,W2ZT Quilcene Bu,25K,High,442.5,447.5,123.0,123.0,Off
Seattle WA UHF 45mi,WC7T Sultan Hays,25K,High,441.875,446.875,103.5,103.5,Off
Seattle WA UHF 45mi,WO7O Quilcene Ho,25K,High,443.425,448.425,103.5,103.5,Off
Seattle WA UHF 45mi,K7MLR Marysville,25K,High,444.2,449.2,D172,D172,Off
Seattle WA UHF 45mi,N7OEP Enumclaw ,25K,High,440.075,445.075,103.5,103.5,Off
Seattle WA UHF 45mi,N7OEP Enumclaw ,25K,High,443.175,448.175,107.2,107.2,Off
Seattle WA UHF 45mi,WA7VC  North Ben,25K,High,446.525,451.525,,,Off
Seattle WA UHF 45mi,WA7LBS Buckley ,25K,High,443.025,448.025,107.2,107.2,Off
Seattle WA UHF 45mi,N7NFY Gold Bar H,25K,High,443.875,448.875,127.3,127.3,Off
Seattle WA UHF 45mi,WC7T Everett ,25K,High,444.975,449.975,114.8,114.8,Off
Seattle WA UHF 45mi,W7EAR Gold Bar ,25K,High,442.175,447.175,103.5,103.5,Off
Seattle WA UHF 45mi,K7OET Enumclaw B,25K,High,444.8,449.8,141.3,141.3,Off
Seattle WA UHF 45mi,W7PSE Enumclaw B,25K,High,441.7,446.7,103.5,103.5,Off
Seattle WA UHF 45mi,W7TWA Enumclaw B,25K,High,441.625,446.625,100.0,100.0,Off
Seattle WA UHF 45mi,WB7DOB Enumclaw ,25K,High,442.625,447.625,103.5,103.5,Off
Seattle WA UHF 45mi,AA7MI Nordland M,25K,High,440.725,445.725,114.8,114.8,Off
Seattle WA UHF 45mi,N7KN Greenbank W,25K,High,441.425,446.425,110.9,110.9,Off
Seattle WA UHF 45mi,KE7YYD Tacoma Ma,25K,High,442.75,447.75,146.2,146.2,Off
Seattle WA UHF 45mi,N7NFY Arlington ,25K,High,443.225,448.225,103.5,103.5,Off
Seattle WA UHF 45mi,N7NFY Sequim Bly,25K,High,442.8,447.8,123.0,123.0,Off
Seattle WA UHF 45mi,KC7EQO Sequim Bl,25K,High,442.1,447.1,100.0,100.0,Off
Seattle WA UHF 45mi,N7BUW Buckley Th,25K,High,444.675,449.675,136.5,136.5,Off
Seattle WA UHF 45mi,WC7I Lacey ,25K,High,442.475,447.475,100.0,100.0,Off
Seattle WA UHF 45mi,N7XCG Arlington ,25K,High,440.4,445.4,123.0,123.0,Off
Seattle WA UHF 45mi,KB7UXE Roy ,25K,High,444.275,449.275,203.5,203.5,Off
Seattle WA UHF 45mi,W7UDI Electron ,25K,High,444.25,449.25,103.5,103.5,Off
Seattle WA UHF 45mi,W7PSE Sequim May,25K,High,442.425,447.425,103.5,103.5,Off
Seattle WA UHF 45mi,WB0CZA Sequim Ma,25K,High,441.125,446.125,123.0,123.0,Off
Seattle WA UHF 45mi,W7PIG Camano Isl,25K,High,441.05,446.05,103.5,103.5,Off
Seattle WA UHF 45mi,N7SK Shelton ,25K,High,443.25,448.25,100.0,100.0,Off
Seattle WA UHF 45mi,K7CH Shelton Sou,25K,High,440.65,445.65,100.0,100.0,Off
Seattle WA UHF 45mi,W6TOZ Lacey ,25K,High,440.55,445.55,103.5,103.5,Off
Seattle WA UHF 45mi,N7NFY North Bend,25K,High,441.65,446.65,127.3,127.3,Off
Seattle WA UHF 45mi,AF7DX Sequim ,25K,High,444.275,449.275,100.0,100.0,Off
Seattle WA UHF 45mi,KO6I Sequim Bell,25K,High,442.05,447.05,103.5,103.5,Off
Seattle WA UHF 45mi,KC7CKO Olympia ,25K,High,443.075,448.075,103.5,103.5,Off
Seattle WA UHF 45mi,W7USJ Olympia ,25K,High,443.8,448.8,146.2,146.2,Off
Seattle WA UHF 45mi,K6MBY Sequim ,25K,High,444.9,449.9,131.8,131.8,Off
Seattle WA UHF 45mi,KA6WIN Sequim ,25K,High,444.75,449.75,100.0,100.0,Off
Seattle WA UHF 45mi,KD7VMK Darringto,25K,High,442.8,447.8,,,Off
Seattle WA UHF 45mi, Darrington Gold,25K,High,444.3,449.3,103.5,103.5,Off
Seattle WA UHF 45mi,N7UJK Olympia Ca,25K,High,444.95,449.95,118.8,118.8,Off
Seattle WA UHF 45mi,W7WRG Olympia Ca,25K,High,440.5,445.5,110.9,110.9,Off
